iter	Passed	Remaining
431	1711	2250
432	1716	2247
433	1721	2244
434	1725	2241
435	1730	2238
436	1734	2235
437	1740	2233
438	1745	2231
439	1750	2227
440	1755	2225
441	1760	2222
442	1765	2220
443	1770	2217
444	1775	2214
445	1781	2212
446	1786	2209
447	1791	2207
448	1796	2204
449	1801	2201
450	1805	2198
451	1810	2195
452	1816	2193
453	1821	2190
454	1826	2187
455	1831	2184
456	1836	2182
457	1841	2178
458	1845	2175
459	1850	2171
460	1854	2168
461	1859	2165
462	1864	2162
463	1869	2160
464	1874	2156
465	1879	2153
466	1883	2150
467	1888	2146
468	1893	2143
469	1898	2140
470	1903	2138
471	1908	2135
472	1914	2132
473	1919	2130
474	1924	2127
475	1929	2124
476	1935	2121
477	1940	2119
478	1945	2115
479	1950	2113
480	1956	2110
481	1961	2107
482	1965	2104
483	1970	2101
484	1975	2097
485	1980	2094
486	1985	2091
487	1990	2087
488	1994	2084
489	2000	2081
490	2005	2078
491	2009	2075
492	2014	2071
493	2019	2068
494	2024	2065
495	2030	2063
496	2035	2059
497	2040	2056
498	2045	2053
499	2050	2050
500	2055	2046
501	2060	2043
502	2065	2040
503	2069	2036
504	2074	2033
505	2079	2029
506	2083	2026
507	2087	2021
508	2092	2018
509	2096	2014
510	2100	2010
511	2104	2006
512	2113	2006
513	2118	2003
514	2123	2000
515	2129	1997
516	2135	1994
517	2140	1992
518	2146	1989
519	2151	1986
520	2157	1983
521	2163	1980
522	2167	1976
523	2172	1973
524	2176	1969
525	2180	1964
526	2184	1960
527	2188	1956
528	2194	1953
529	2198	1949
530	2203	1945
531	2207	1942
532	2213	1939
533	2217	1935
534	2222	1931
535	2226	1927
536	2231	1923
537	2236	1920
538	2240	1916
539	2244	1912
540	2250	1909
541	2256	1906
542	2261	1903
543	2265	1899
544	2272	1896
545	2276	1893
546	2282	1890
547	2286	1886
548	2291	1882
549	2297	1880
550	2303	1876
551	2308	1873
552	2313	1869
553	2317	1865
554	2322	1862
555	2327	1858
556	2332	1855
557	2343	1856
558	2348	1853
559	2353	1849
560	2358	1845
561	2363	1842
562	2368	1838
563	2373	1834
564	2377	1830
565	2382	1826
566	2387	1822
567	2391	1819
568	2397	1815
569	2401	1811
570	2406	1807
571	2410	1803
572	2416	1800
573	2422	1797
574	2427	1794
575	2431	1790
576	2436	1786
577	2441	1782
578	2445	1778
579	2452	1776
580	2456	1771
581	2461	1767
582	2465	1763
583	2469	1759
584	2474	1755
585	2478	1750
586	2483	1747
587	2487	1742
588	2493	1739
589	2497	1735
590	2504	1733
591	2508	1729
592	2513	1724
593	2518	1721
594	2524	1718
595	2528	1714
596	2533	1710
597	2538	1706
598	2542	1701
599	2546	1697
600	2550	1693
601	2555	1689
602	2559	1685
603	2564	1681
604	2569	1677
605	2574	1673
606	2578	1669
607	2582	1665
608	2588	1662
609	2593	1658
610	2597	1653
611	2601	1649
612	2606	1645
613	2613	1643
614	2618	1639
615	2622	1634
616	2627	1630
617	2631	1626
618	2638	1623
619	2643	1620
620	2647	1615
621	2651	1611
622	2655	1607
623	2661	1603
624	2665	1599
625	2669	1594
626	2673	1590
627	2677	1586
628	2682	1582
629	2688	1578
630	2692	1574
631	2697	1570
632	2701	1566
633	2706	1562
634	2710	1558
635	2715	1554
636	2719	1550
637	2724	1546
638	2729	1541
639	2733	1537
640	2737	1533
641	2742	1529
642	2746	1524
643	2750	1520
644	2756	1517
645	2761	1513
646	2766	1509
647	2770	1504
648	2774	1500
649	2779	1496
650	2783	1492
651	2787	1488
652	2792	1483
