iter	MultiClass
157	1.418323718
158	1.417217013
159	1.41599819
160	1.41438179
161	1.413326771
162	1.411896656
163	1.410614737
164	1.409427656
165	1.408593793
166	1.407836469
167	1.40652921
168	1.405399253
169	1.404646326
170	1.403350406
171	1.402140815
172	1.400762315
173	1.399568855
174	1.39892672
175	1.398262852
176	1.39738845
177	1.396557346
178	1.39577825
179	1.39531818
180	1.394600892
181	1.393850176
182	1.392946086
183	1.392073434
184	1.391255145
185	1.390482134
186	1.38989487
187	1.389143798
188	1.388129279
189	1.387389552
190	1.386650344
191	1.385844801
192	1.384900472
193	1.383954219
194	1.382768217
195	1.381633745
196	1.380888516
197	1.380003191
198	1.37896785
199	1.377963122
200	1.377017423
201	1.376064885
202	1.375245966
203	1.373809087
204	1.373109471
205	1.372597198
206	1.371871168
207	1.370900232
208	1.369837204
209	1.368624658
210	1.36789793
211	1.367128821
212	1.366197378
213	1.365665764
214	1.364695492
215	1.363773041
216	1.363138188
217	1.362448733
218	1.362004417
219	1.361375104
220	1.36101266
221	1.360320159
222	1.359463508
223	1.358790061
224	1.357951862
225	1.357379106
226	1.356690414
227	1.355856456
228	1.355053589
229	1.354207598
230	1.353516854
231	1.352992908
232	1.352075375
233	1.351496665
234	1.350913113
235	1.350160095
236	1.349217223
237	1.348521787
238	1.347745628
239	1.347153502
240	1.346693178
241	1.346162572
242	1.34542203
243	1.344491965
244	1.343482067
245	1.342878943
246	1.342082696
247	1.341538081
248	1.340641864
249	1.339764513
250	1.339004143
251	1.338111287
252	1.337321864
253	1.336672674
254	1.335756215
255	1.335071897
256	1.334568968
257	1.333825349
258	1.333051422
259	1.332336688
260	1.331406571
261	1.330985912
262	1.330246146
263	1.329688721
264	1.329154184
265	1.328423527
266	1.327868239
267	1.327391394
268	1.326744396
269	1.326282401
270	1.325585942
271	1.325095005
272	1.324426118
273	1.323699401
274	1.323211006
275	1.322563253
276	1.321914928
277	1.321441208
278	1.320508635
279	1.319922114
280	1.319173817
281	1.318660332
282	1.318115694
283	1.31758953
284	1.316876803
285	1.316196778
286	1.315287197
287	1.314714527
288	1.314326573
289	1.313941576
290	1.313195371
291	1.312533587
292	1.311927629
293	1.311388037
294	1.310637467
295	1.310087431
296	1.309679451
297	1.308947488
298	1.308439688
299	1.307609478
300	1.307066809
301	1.306480319
302	1.30567886
303	1.305174967
304	1.304535537
305	1.304114262
306	1.303479539
307	1.303163215
308	1.302510061
309	1.301920365
310	1.301344503
311	1.300898515
312	1.30045367
313	1.299587745
314	1.299029141
315	1.298571842
316	1.29790117
317	1.297388818
318	1.296713792
319	1.296168158
320	1.295589743
321	1.295139418
322	1.294586762
323	1.294003736
324	1.293437412
325	1.293265792
326	1.292691206
327	1.292315156
328	1.291640445
329	1.291172206
330	1.290537705
331	1.290192022
332	1.289732503
333	1.288809865
334	1.288469075
335	1.287911932
336	1.287715846
337	1.286872873
338	1.286152411
339	1.285620063
340	1.285102437
341	1.284651028
342	1.284143389
343	1.283611879
344	1.283197211
345	1.282716435
346	1.282292567
347	1.281523039
348	1.280940852
349	1.280348325
350	1.279950597
351	1.279437007
352	1.278870498
353	1.278299307
354	1.277948418
355	1.277543178
356	1.276956934
357	1.276470586
358	1.275899336
359	1.275452001
360	1.2747469
361	1.274384367
362	1.273690399
363	1.273044971
364	1.272702861
365	1.272272636
366	1.271990323
367	1.271285987
368	1.270953734
369	1.270449852
370	1.270074219
371	1.269793532
372	1.269254224
373	1.269000318
374	1.268334347
375	1.267959623
376	1.267057098
377	1.266391322
378	1.265875915
379	1.265426363
380	1.265022959
381	1.264515508
382	1.263845103
383	1.263451924
384	1.263047402
385	1.262490018
386	1.261856689
387	1.261164743
388	1.260566401
389	1.259820514
390	1.259472997
391	1.258618512
392	1.258243249
393	1.25782775
394	1.257486008
395	1.257069818
396	1.256391617
397	1.255953657
398	1.25527425
399	1.254677103
400	1.254253162
401	1.253667252
402	1.25319745
403	1.252773564
404	1.252348942
405	1.251783067
406	1.251262106
407	1.250713827
408	1.250100633
409	1.249487492
410	1.249086518
411	1.248569682
412	1.247994472
413	1.247374734
414	1.246989308
415	1.246682867
416	1.246086644
417	1.245617914
418	1.245053269
419	1.244590302
420	1.244231188
421	1.243668718
422	1.243150402
423	1.242972273
424	1.24257058
425	1.242294027
426	1.241831431
427	1.241352796
428	1.240878006
429	1.240468543
430	1.239986655
431	1.239622849
432	1.239114868
433	1.238578042
434	1.238146572
435	1.237581533
436	1.236924602
437	1.23608305
438	1.235342397
439	1.235014922
440	1.234615311
441	1.234358674
442	1.233801424
443	1.233165997
444	1.232658856
445	1.232414657
446	1.231908658
447	1.231273704
448	1.230750029
449	1.230273816
450	1.229808264
451	1.22945963
452	1.228858188
453	1.228503061
454	1.227971953
455	1.227513565
456	1.226821877
457	1.226363944
458	1.225897533
459	1.225513694
460	1.225193163
461	1.224851901
462	1.22443916
463	1.224031543
464	1.223479775
465	1.22318377
466	1.222825882
467	1.22241758
468	1.221946642
469	1.221624427
470	1.220953927
471	1.220375158
472	1.219748466
473	1.219359675
474	1.218821519
475	1.218297228
476	1.217705691
477	1.216738667
478	1.216468143
479	1.215993141
480	1.21570927
481	1.215336074
482	1.214753147
483	1.214322008
484	1.213903312
485	1.213492572
486	1.212869982
487	1.212448464
488	1.211943012
489	1.2113646
490	1.210973704
491	1.210493669
492	1.209962459
493	1.209276534
494	1.208787477
495	1.208347055
496	1.207973387
497	1.207559077
498	1.207228803
499	1.206753965
500	1.206423685
501	1.206064768
502	1.205781417
503	1.205439835
504	1.205026672
505	1.204585596
506	1.204160538
507	1.203670467
508	1.203358154
509	1.202936851
510	1.202579426
511	1.202292273
512	1.201945222
513	1.201654703
514	1.201252021
515	1.200479965
516	1.200105134
517	1.199741652
518	1.199362482
519	1.198816667
520	1.198506216
521	1.198065455
522	1.197452746
523	1.196814568
524	1.196425122
525	1.196061682
526	1.195683355
527	1.195146935
528	1.194506254
529	1.194025635
530	1.193146126
531	1.192641811
532	1.19206664
533	1.191511705
534	1.190829847
535	1.190285208
536	1.189788158
537	1.189405534
538	1.189116192
539	1.18890675
540	1.188195609
541	1.187726286
542	1.187303437
543	1.187025379
544	1.186494691
545	1.186068009
546	1.185714435
547	1.185499107
548	1.185213738
549	1.184512505
550	1.183957242
551	1.183477846
552	1.182873629
553	1.182395294
554	1.182110369
555	1.181660144
556	1.180714079
557	1.180412059
558	1.179907797
559	1.179607902
560	1.17924456
561	1.178775063
562	1.178432579
563	1.177851175
564	1.177398531
565	1.176993927
566	1.176353306
567	1.176063138
568	1.175630858
569	1.175394092
570	1.175043908
571	1.174641571
572	1.174236496
573	1.173840479
574	1.17328192
575	1.172821198
576	1.172345262
577	1.171750133
578	1.171362914
579	1.171126244
580	1.170838136
581	1.17022743
582	1.16991975
583	1.169534443
584	1.169146125
585	1.168835419
586	1.168374596
587	1.16796468
588	1.167393632
589	1.167085079
590	1.166679376
591	1.166396155
592	1.166055469
593	1.165313327
594	1.164605879
595	1.163997924
596	1.163671249
597	1.163303234
598	1.16296917
599	1.162700075
600	1.162237936
601	1.161866258
602	1.161527184
603	1.161151228
604	1.16068123
605	1.160088918
606	1.159720667
607	1.159429703
608	1.158864204
609	1.158479618
610	1.158110748
611	1.157921069
612	1.157439849
613	1.157080002
614	1.156777168
615	1.156459367
616	1.156095251
617	1.155588266
618	1.155129796
619	1.154733393
620	1.15433798
621	1.154075031
622	1.153669717
623	1.15323824
624	1.152989156
625	1.152713266
626	1.152392339
627	1.152109259
628	1.151568529
629	1.151330007
630	1.150746616
631	1.150057541
632	1.149679942
633	1.149258674
634	1.149000288
635	1.148532395
636	1.148184361
637	1.147858823
638	1.147343991
639	1.146691643
640	1.146375269
641	1.145933
642	1.145729222
643	1.145458759
644	1.145161353
645	1.144250027
646	1.143859462
647	1.143603029
648	1.14289166
649	1.142410426
650	1.142156897
651	1.141696301
652	1.141236405
653	1.140939209
654	1.140258033
655	1.139977372
656	1.13956164
657	1.139291681
658	1.139015578
659	1.138692895
660	1.138272866
661	1.138057499
662	1.137741689
663	1.137405253
664	1.137027666
665	1.136676722
666	1.136282654
667	1.135901904
668	1.13552051
669	1.135265605
670	1.134956172
671	1.134458079
672	1.134226314
673	1.133762478
674	1.133447858
675	1.133052381
676	1.132834683
677	1.132419357
678	1.132217282
679	1.131786636
680	1.131399513
681	1.130857101
682	1.130326575
683	1.129853384
684	1.129488639
685	1.129115176
686	1.128751468
687	1.128454184
688	1.127993826
689	1.127680146
690	1.127444938
691	1.127170869
692	1.126845771
693	1.126461883
694	1.126153842
695	1.125846858
696	1.125487525
697	1.125126123
698	1.124858255
699	1.124421686
700	1.123991114
701	1.12370252
702	1.123463904
703	1.12315491
704	1.122633473
705	1.122332822
706	1.121970405
707	1.121761126
708	1.121262094
709	1.120937222
710	1.120516558
711	1.120057567
712	1.11957687
713	1.119283955
714	1.118782487
715	1.118235307
716	1.117763038
717	1.117533365
718	1.117059679
719	1.116822848
720	1.116390621
721	1.116111733
722	1.115883737
723	1.115515407
724	1.115084865
725	1.114665941
726	1.114317963
727	1.114072532
728	1.113912876
729	1.113498634
730	1.112999445
731	1.112591753
732	1.111969665
733	1.11145544
734	1.11121775
735	1.110724052
736	1.110254843
737	1.109631118
738	1.109339678
739	1.109000034
740	1.10870115
741	1.108186409
742	1.107768394
743	1.107370297
744	1.107046414
745	1.106640315
746	1.106229239
747	1.105872144
748	1.105505893
749	1.10508099
750	1.104733694
751	1.104502969
752	1.104293307
753	1.10407389
754	1.10373746
755	1.103313763
756	1.102781892
757	1.102560682
758	1.102274351
759	1.101830872
760	1.101498787
761	1.101264153
762	1.10074931
763	1.100467602
764	1.100325812
765	1.099985972
766	1.099744114
767	1.099450861
768	1.099140429
769	1.098810705
770	1.098450121
771	1.097955812
772	1.097780002
773	1.097344576
774	1.096844843
775	1.096380058
776	1.096144344
777	1.095811894
778	1.095575205
779	1.095357076
780	1.095019767
781	1.094416735
782	1.094110683
783	1.093725775
784	1.093422291
785	1.092829669
786	1.092504832
787	1.091997347
788	1.091553366
789	1.091049538
790	1.090641067
791	1.090344666
792	1.089895004
793	1.089514269
794	1.089271662
795	1.089114562
796	1.08887284
797	1.088578086
798	1.088391113
799	1.088058584
800	1.087537274
801	1.087215644
802	1.086881173
803	1.086451784
804	1.086060624
805	1.085830924
806	1.085523811
807	1.085003032
808	1.084821304
809	1.084503866
810	1.084241985
811	1.083846928
812	1.083462402
813	1.083080986
814	1.082713022
815	1.082403487
816	1.081962127
817	1.081808818
818	1.081234062
819	1.081018707
820	1.080773195
821	1.080484856
822	1.080053194
823	1.07986694
824	1.079473099
825	1.079279638
826	1.078811029
827	1.078414203
828	1.07773427
829	1.077563319
830	1.077079393
831	1.076504504
832	1.076257989
833	1.075898785
834	1.07544068
835	1.075189731
836	1.074665018
837	1.07429736
838	1.073973504
839	1.073524423
840	1.073282744
841	1.073155289
842	1.072847161
843	1.072449732
844	1.07220847
845	1.07199807
846	1.071794327
847	1.071478646
848	1.071230671
849	1.070788916
850	1.070398204
851	1.070062525
852	1.069877681
853	1.069486198
854	1.069044019
855	1.068581263
856	1.06816336
857	1.067775862
858	1.067578605
859	1.067304146
860	1.066813088
861	1.066242402
862	1.065759926
863	1.065486978
864	1.065138249
865	1.064721318
866	1.064492734
867	1.064141
868	1.063891932
869	1.06364261
870	1.063377407
871	1.063122896
872	1.062760943
873	1.06248147
874	1.062142675
875	1.061784764
876	1.06114494
877	1.060943499
878	1.060646146
879	1.060193257
880	1.059791195
881	1.059582613
882	1.059065777
883	1.058783902
884	1.058465746
885	1.05807701
886	1.057882694
887	1.057544345
888	1.057263225
889	1.057018765
890	1.056658089
891	1.056341373
892	1.05611064
893	1.05579886
894	1.055496788
895	1.054875845
896	1.054578608
897	1.054350045
898	1.054088501
899	1.053784853
900	1.053527756
901	1.05312935
902	1.052786173
903	1.05260106
904	1.052425598
905	1.052078485
906	1.051673688
907	1.051329179
908	1.051119669
909	1.050583467
910	1.050302406
911	1.049988218
912	1.049736185
913	1.049567076
914	1.049230521
915	1.048803421
916	1.0485042
917	1.048264783
918	1.047932813
919	1.047582292
920	1.047245877
921	1.046926458
922	1.046631543
923	1.046298025
924	1.045973114
925	1.045592017
926	1.045369521
927	1.044905355
928	1.044265764
929	1.043924195
930	1.043369629
931	1.043049458
932	1.042738067
933	1.042264793
934	1.041830368
935	1.041659908
936	1.041343301
937	1.041051713
938	1.040711728
939	1.040251019
940	1.039826301
941	1.039552099
942	1.039274723
943	1.038966087
944	1.038723403
945	1.038451922
946	1.03802719
947	1.037531023
948	1.03719239
949	1.036987195
950	1.036510434
951	1.036254531
952	1.035849686
953	1.035487054
954	1.03524472
955	1.034794139
956	1.034494771
957	1.034192375
958	1.033781246
959	1.033434441
960	1.033068364
961	1.032796925
962	1.032552652
963	1.032392077
964	1.032069808
965	1.031652666
966	1.031339762
967	1.030876173
968	1.030660019
969	1.030345117
970	1.029890389
971	1.029698935
972	1.029511771
973	1.029294825
974	1.028938108
975	1.028809479
976	1.028644264
977	1.028261536
978	1.027879272
979	1.027177556
980	1.026838928
981	1.026417826
982	1.02619375
983	1.025789218
984	1.025337299
985	1.024977344
986	1.02482336
987	1.024557294
988	1.024291812
989	1.023756682
990	1.023551518
991	1.023169366
992	1.022873877
993	1.022620796
994	1.022430035
995	1.022164914
996	1.021837091
997	1.021449104
998	1.021080148
999	1.020819961
